Company Name,Industry,Symbol,Series,ISIN Code
BLB Limited,,BLBLIMITED,EQ,INE791A01024
Balmer Lawrie Investments Limited,,BLIL,EQ,INE525F01025
Bliss GVS Pharma Limited,,BLISSGVS,EQ,INE416D01022
B. L. Kashyap and Sons Limited,,BLKASHYAP,EQ,INE350H01032
BLS International Services Limited,,BLS,EQ,INE153T01027
BLS E-Services Limited,,BLSE,EQ,INE0NLT01010
Blue Coast Hotels Limited,,BLUECOAST,BE,INE472B01011
Blue Dart Express Limited,,BLUEDART,EQ,INE233B01017
Blue Jet Healthcare Limited,,BLUEJET,EQ,INE0KBH01020
Blue Star Limited,,BLUESTARCO,EQ,INE472A01039
BlueStone Jewellery and Lifestyle Limited,,BLUESTONE,EQ,INE304W01038
Bluspring Enterprises Limited,,BLUSPRING,EQ,INE0U4101014
BMW Ventures Limited,,BMWVENTLTD,EQ,INE965W01036
BN Agrochem Limited,,BNAGROCHEM,BE,INE00HZ01011
B & A Limited,,BNALTD,EQ,INE489D01011
Bodal Chemicals Limited,,BODALCHEM,BE,INE338D01028
Bohra Industries Limited,,BOHRAIND,EQ,INE802W01023
Bombay Dyeing & Mfg Company Limited,,BOMDYEING,EQ,INE032A01023
Bonlon Industries Limited,,BONLON,EQ,INE0B9A01018
Borana Weaves Limited,,BORANA,EQ,INE16SF01016
Borosil Limited,,BOROLTD,EQ,INE02PY01013
BOROSIL RENEWABLES LIMITED,,BORORENEW,EQ,INE666D01022
Borosil Scientific Limited,,BOROSCI,EQ,INE02L001032
BOSCH HOME COMFORT INDIA LIMITED,,BOSCH-HCIL,EQ,INE782A01015
Bosch Limited,,BOSCHLTD,EQ,INE323A01026
Bharat Petroleum Corporation Limited,,BPCL,EQ,INE029A01011
BPL Limited,,BPL,EQ,INE110A01019
Brigade Enterprises Limited,,BRIGADE,EQ,INE791I01019
Brigade Hotel Ventures Limited,,BRIGHOTEL,EQ,INE03NU01014
Britannia Industries Limited,,BRITANNIA,EQ,INE216A01030
Bharat Road Network Limited,,BRNL,EQ,INE727S01012
Brooks Laboratories Limited,,BROOKS,BE,INE650L01011
BSE Limited,,BSE,EQ,INE118H01025
Bombay Super Hybrid Seeds Limited,,BSHSL,BE,INE032Z01020
BSL Limited,,BSL,EQ,INE594B01012
BIRLASOFT LIMITED,,BSOFT,EQ,INE836A01035
Bodhi Tree Multimedia Limited,,BTML,EQ,INE0EEJ01023
Bhilwara Technical Textiles Limited,,BTTL,EQ,INE274K01012
Shankara Buildpro Limited,,BUILDPRO,EQ,INE24OJ01011
Butterfly Gandhimathi Appliances Limited,,BUTTERFLY,EQ,INE295F01017
Barak Valley Cements Limited,,BVCL,EQ,INE139I01011
The Byke Hospitality Ltd,,BYKE,BE,INE319B01014
California Software Company Limited,,CALSOFT,BE,INE526B01014
Camlin Fine Sciences Limited,,CAMLINFINE,EQ,INE052I01032
Campus Activewear Limited,,CAMPUS,EQ,INE278Y01022
Computer Age Management Services Limited,,CAMS,EQ,INE596I01020
Canara Bank,,CANBK,EQ,INE476A01022
Can Fin Homes Limited,,CANFINHOME,EQ,INE477A01020
Canara HSBC Life Insurance Company Limited,,CANHLIFE,EQ,INE01TY01017
Cantabil Retail India Limited,,CANTABIL,EQ,INE068L01024
Capacit'e Infraprojects Limited,,CAPACITE,EQ,INE264T01014
Capillary Technologies India Limited,,CAPILLARY,EQ,INE0ILV01024
Capital Small Finance Bank Limited,,CAPITALSFB,EQ,INE646H01017
Caplin Point Laboratories Limited,,CAPLIPOINT,EQ,INE475E01026
Capital Trust Limited,,CAPTRUST,BE,INE707C01018
Carborundum Universal Limited,,CARBORUNIV,EQ,INE120A01034
CARE Ratings Limited,,CARERATING,EQ,INE752H01013
Carraro India Limited,,CARRARO,EQ,INE0V7W01012
Cartrade Tech Limited,,CARTRADE,EQ,INE290S01011
CARYSIL LIMITED,,CARYSIL,EQ,INE482D01024
Castrol India Limited,,CASTROLIND,EQ,INE172A01027
AvenuesAI Limited,,CCAVENUE,EQ,INE483S01020
Consolidated Construction Consortium Limited,,CCCL,EQ,INE429I01024
Country Club Hospitality & Holidays Limited,,CCHHL,EQ,INE652F01027
CCL Products (India) Limited,,CCL,EQ,INE421D01022
Central Depository Services (India) Limited,,CDSL,EQ,INE736A01011
CEAT Limited,,CEATLTD,EQ,INE482A01020
Ceigall India Limited,,CEIGALL,EQ,INE0AG901020
Ceinsys Tech Limited,,CEINSYS,EQ,INE016Q01014
Celebrity Fashions Limited,,CELEBRITY,EQ,INE185H01016
Cello World Limited,,CELLO,EQ,INE0LMW01024
Cemindia Projects Limited,,CEMPRO,EQ,INE686A01026
Century Enka Limited,,CENTENKA,EQ,INE485A01015
Century Extrusions Limited,,CENTEXT,EQ,INE281A01026
Central Bank of India,,CENTRALBK,EQ,INE483A01010
Centrum Capital Limited,,CENTRUM,EQ,INE660C01027
Centum Electronics Limited,,CENTUM,EQ,INE320B01020
Century Plyboards (India) Limited,,CENTURYPLY,EQ,INE348B01021
Cera Sanitaryware Limited,,CERA,EQ,INE739E01017
Cerebra Integrated Technologies Limited,,CEREBRAINT,BZ,INE345B01019
CESC Limited,,CESC,EQ,INE486A01021
Concord Enviro Systems Limited,,CEWATER,EQ,INE037Z01029
Capri Global Capital Limited,,CGCL,EQ,INE180C01042
CG Power and Industrial Solutions Limited,,CGPOWER,EQ,INE067A01029
Chalet Hotels Limited,,CHALET,EQ,INE427F01016
Chambal Fertilizers & Chemicals Limited,,CHAMBLFERT,EQ,INE085A01013
Chembond Material Technologies Limited,,CHEMBOND,BE,INE995D01025
Chembond Chemicals Limited,,CHEMBONDCH,BE,INE0TGX01019
Chemcon Speciality Chemicals Limited,,CHEMCON,EQ,INE03YM01018
Chemfab Alkalis Limited,,CHEMFAB,BE,INE783X01023
Chemplast Sanmar Limited,,CHEMPLASTS,EQ,INE488A01050
Chennai Petroleum Corporation Limited,,CHENNPETRO,EQ,INE178A01016
Cheviot Company Limited,,CHEVIOT,EQ,INE974B01016
